Model,Seed,epoch,train_loss,train_f1,dev_loss,dev_f1,lr,epoch_s
CharBiLSTM,777,7,0.098766,0.967826,0.161131,0.96429,0.001,2.92
CharBiLSTM,777,8,0.094261,0.968958,0.146942,0.966683,0.001,2.94
CharBiLSTM,777,9,0.089978,0.969153,0.148943,0.967048,0.001,3.0
CharBiLSTM,777,10,0.08288,0.9729,0.155014,0.965226,0.001,2.98
CharBiLSTM,777,11,0.079045,0.975135,0.15663,0.964259,0.001,2.99
CharBiLSTM,777,12,0.071998,0.977962,0.163239,0.964988,0.0005,2.92
CharBiLSTM,777,13,0.067861,0.978627,0.157597,0.966587,0.0005,2.99
CharBiLSTM,777,14,0.06743,0.9778,0.158519,0.964055,0.0005,3.58
CharBiLSTM,777,15,0.06147,0.981252,0.165466,0.965252,0.00025,3.04
CharBiGRU,42,1,0.196393,0.92688,0.235424,0.934887,0.001,3.01
CharBiGRU,42,2,0.149532,0.948099,0.193229,0.952087,0.001,2.81
CharBiGRU,42,3,0.126571,0.955374,0.1674,0.959204,0.001,2.99
CharBiGRU,42,4,0.116513,0.96132,0.173071,0.960562,0.001,2.94
CharBiGRU,42,5,0.107411,0.96308,0.150386,0.96473,0.001,2.96
CharBiGRU,42,6,0.100524,0.967351,0.165398,0.964255,0.001,2.87
CharBiGRU,42,7,0.094866,0.970151,0.164451,0.964486,0.001,2.94
CharBiGRU,42,8,0.086004,0.972119,0.15008,0.967923,0.001,3.02
CharBiGRU,42,9,0.082145,0.974373,0.156597,0.966178,0.001,2.99
CharBiGRU,42,10,0.076879,0.975431,0.152316,0.965534,0.001,2.87
CharBiGRU,42,11,0.072481,0.978242,0.166488,0.963892,0.001,3.02
CharBiGRU,42,12,0.065973,0.979231,0.156159,0.966044,0.0005,2.96
CharBiGRU,42,13,0.062885,0.980878,0.158074,0.965437,0.0005,2.96
CharBiGRU,42,14,0.059293,0.982251,0.168267,0.964812,0.0005,3.17
CharBiGRU,7,1,0.199365,0.925181,0.235964,0.933579,0.001,2.66
CharBiGRU,7,2,0.150639,0.945957,0.187549,0.950334,0.001,2.75
CharBiGRU,7,3,0.130776,0.953322,0.166993,0.9578,0.001,2.83
CharBiGRU,7,4,0.117109,0.959674,0.163295,0.95915,0.001,2.67
CharBiGRU,7,5,0.107287,0.963839,0.156069,0.963335,0.001,2.62
CharBiGRU,7,6,0.10083,0.967131,0.158682,0.963793,0.001,2.72
CharBiGRU,7,7,0.092527,0.969592,0.155137,0.964108,0.001,2.78
CharBiGRU,7,8,0.088165,0.97098,0.149717,0.967193,0.001,2.71
CharBiGRU,7,9,0.08902,0.968289,0.144649,0.966123,0.001,2.74
CharBiGRU,7,10,0.080847,0.972312,0.145536,0.966456,0.001,2.74
CharBiGRU,7,11,0.080275,0.971393,0.144471,0.965921,0.001,2.75
CharBiGRU,7,12,0.071939,0.978348,0.164724,0.964295,0.001,2.78
CharBiGRU,7,13,0.069625,0.97624,0.154539,0.966695,0.001,2.92
CharBiGRU,7,14,0.062277,0.981535,0.165303,0.965674,0.001,2.91
CharBiGRU,123,1,0.207143,0.920073,0.241567,0.931786,0.001,2.94
CharBiGRU,123,2,0.151004,0.945314,0.188886,0.952416,0.001,2.88
CharBiGRU,123,3,0.129922,0.952497,0.163193,0.957912,0.001,2.92
CharBiGRU,123,4,0.114854,0.959677,0.158177,0.961571,0.001,2.94
CharBiGRU,123,5,0.104073,0.964245,0.150267,0.964865,0.001,2.95
CharBiGRU,123,6,0.097815,0.966785,0.149792,0.966217,0.001,2.92
CharBiGRU,123,7,0.094381,0.966384,0.14505,0.965087,0.001,2.91
CharBiGRU,123,8,0.087077,0.971996,0.14936,0.966757,0.001,2.95
CharBiGRU,123,9,0.081382,0.974223,0.156423,0.966225,0.001,2.95
CharBiGRU,123,10,0.077857,0.975473,0.15078,0.96664,0.001,2.92
CharBiGRU,123,11,0.071534,0.977068,0.150852,0.966699,0.0005,2.84
CharBiGRU,123,12,0.067929,0.979294,0.159098,0.966446,0.0005,2.92
CharBiGRU,123,13,0.065715,0.980498,0.169141,0.964349,0.0005,3.12
CharBiGRU,123,14,0.061927,0.980748,0.154205,0.966979,0.00025,2.94
CharBiGRU,123,15,0.059622,0.982139,0.162648,0.965795,0.00025,2.88
CharBiGRU,123,16,0.057687,0.983099,0.170083,0.965044,0.00025,2.84
CharBiGRU,123,17,0.055919,0.983723,0.166692,0.966044,0.000125,2.85
CharBiGRU,123,18,0.054632,0.984327,0.170477,0.965737,0.000125,2.84
CharBiGRU,123,19,0.054489,0.984994,0.18184,0.963892,0.000125,2.84
CharBiGRU,123,20,0.052957,0.985064,0.173722,0.96569,6.25e-05,2.96
CharBiGRU,2024,1,0.197228,0.928095,0.245598,0.935071,0.001,2.85
CharBiGRU,2024,2,0.14935,0.94632,0.19041,0.950316,0.001,2.97
CharBiGRU,2024,3,0.136353,0.953674,0.190659,0.953517,0.001,2.93
CharBiGRU,2024,4,0.12195,0.959481,0.175616,0.959205,0.001,2.82
CharBiGRU,2024,5,0.121042,0.953394,0.157047,0.958564,0.001,2.9
CharBiGRU,2024,6,0.103757,0.965117,0.158646,0.964516,0.001,2.95
CharBiGRU,2024,7,0.097718,0.966873,0.153186,0.965627,0.001,2.92
CharBiGRU,2024,8,0.089332,0.970919,0.154016,0.967118,0.001,2.84
CharBiGRU,2024,9,0.085627,0.9722,0.152329,0.966344,0.001,2.96
CharBiGRU,2024,10,0.081031,0.973988,0.158077,0.966033,0.001,2.97
CharBiGRU,2024,11,0.078136,0.973583,0.151854,0.966847,0.001,3.03
CharBiGRU,2024,12,0.072705,0.977967,0.167971,0.964494,0.001,2.88
CharBiGRU,2024,13,0.068327,0.977658,0.155114,0.966636,0.001,2.9
CharBiGRU,2024,14,0.062479,0.980803,0.167066,0.967098,0.001,2.94
CharBiGRU,777,1,0.202786,0.920204,0.232082,0.934011,0.001,2.96
CharBiGRU,777,2,0.148798,0.944416,0.182152,0.951868,0.001,2.99
CharBiGRU,777,3,0.126138,0.955971,0.165311,0.960376,0.001,2.81
CharBiGRU,777,4,0.121713,0.959492,0.177541,0.959579,0.001,2.95
CharBiGRU,777,5,0.106982,0.963626,0.158636,0.964187,0.001,2.94
CharBiGRU,777,6,0.103972,0.962726,0.147063,0.963209,0.001,2.93
CharBiGRU,777,7,0.094425,0.968393,0.147517,0.966443,0.001,2.8
CharBiGRU,777,8,0.089799,0.97148,0.150467,0.966959,0.001,2.92
CharBiGRU,777,9,0.087317,0.969358,0.146822,0.965731,0.001,2.95
CharBiGRU,777,10,0.078853,0.974048,0.154882,0.967742,0.001,2.91
CharBiGRU,777,11,0.075728,0.97536,0.145482,0.968699,0.001,2.84
CharBiGRU,777,12,0.085829,0.973392,0.206299,0.957597,0.001,2.89
CharBiGRU,777,13,0.069883,0.977084,0.153762,0.966563,0.001,2.9
CharBiGRU,777,14,0.064093,0.979098,0.155748,0.966455,0.001,2.87
CharBiGRU,777,15,0.054829,0.984277,0.170448,0.966468,0.0005,2.9
CharBiGRU,777,16,0.054837,0.984894,0.198452,0.962417,0.0005,2.96
CharBiGRU,777,17,0.050422,0.98556,0.175781,0.965006,0.0005,2.85
CharTransformer,42,1,0.289977,0.880133,0.347622,0.885661,0.001,4.39
CharTransformer,42,2,0.200386,0.921781,0.260354,0.925324,0.001,4.16
CharTransformer,42,3,0.182404,0.929217,0.242525,0.932185,0.001,4.09
CharTransformer,42,4,0.165956,0.940574,0.246367,0.935073,0.001,4.19
CharTransformer,42,5,0.146539,0.945549,0.208566,0.94505,0.001,4.14
