row_id,n_tokens,suffix3,FREQ,FREQ_split,records_removed,LAST_YEAR,LAST_YEAR_split
123,2,ari,2,1,1,2024,2021
124,2,ila,2,1,1,2025,2022
125,4,adi,2,1,1,2024,2021
126,2,ini,2,1,1,2024,2020
127,3,nni,2,1,1,2024,2019
128,2,yah,2,1,1,2024,2020
129,2,tri,2,1,1,2024,2007
130,2,ira,3,2,1,2025,2019
131,2,ari,7,6,1,2025,2013
132,1,zah,3,2,1,2024,2013
133,1,war,2,1,1,2025,2001
134,3,gyo,2,1,1,2025,2020
135,2,tya,3,2,1,2024,2020
136,2,tra,2,1,1,2025,2019
137,2,ono,3,2,1,2024,2006
138,2,wan,3,2,1,2025,2012
139,2,ani,2,1,1,2024,2021
140,2,uma,3,2,1,2024,2008
141,2,wan,3,2,1,2025,2012
142,2,ana,3,2,1,2024,2011
143,2,tya,2,1,1,2025,2006
144,2,tra,3,2,1,2024,2004
145,3,tri,2,1,1,2025,2022
146,2,han,3,1,2,2025,2023
147,2,wan,9,8,1,2025,2013
148,2,omo,2,1,1,2024,2008
149,2,lia,2,1,1,2025,2014
150,3,ari,2,1,1,2024,2021
151,3,sih,2,1,1,2025,2022
152,2,hra,2,1,1,2025,2022
153,3,ata,2,1,1,2025,2019
154,1,lia,2,1,1,2025,2022
155,1,isa,7,6,1,2024,2021
156,3,adi,2,1,1,2025,2022
157,2,wan,5,4,1,2024,2013
158,2,uma,4,3,1,2024,2010
159,3,ela,2,1,1,2024,2020
160,2,lia,2,1,1,2025,2023
161,3,ini,2,1,1,2024,2021
162,2,ari,2,1,1,2024,2012
163,4,ief,2,1,1,2024,2023
164,2,yah,3,2,1,2025,2019
165,1,iel,19,18,1,2024,2022
166,2,wan,2,1,1,2024,2009
167,1,win,5,3,2,2024,2009
168,1,vid,14,13,1,2024,2022
169,2,ayu,2,1,1,2024,2021
170,3,ida,2,1,1,2025,2022
171,2,wan,4,3,1,2025,2014
172,2,ari,8,7,1,2024,2021
173,2,wan,2,1,1,2025,2016
174,2,ari,5,4,1,2024,2023
175,2,ari,2,1,1,2025,2020
176,2,ani,2,1,1,2025,2021
177,2,ina,4,3,1,2025,2016
178,2,eni,7,6,1,2024,2011
179,2,ari,8,7,1,2024,2014
180,2,ani,2,1,1,2024,2012
181,3,ari,3,2,1,2024,2006
182,2,ari,5,4,1,2024,2014
183,3,oso,2,1,1,2024,2022
184,3,oso,2,1,1,2024,2020
185,4,tri,2,1,1,2024,2021
186,2,ini,13,12,1,2024,2020
187,2,ani,3,2,1,2025,1999
188,2,tri,2,1,1,2025,2006
189,2,ika,2,1,1,2025,2022
190,2,ana,6,5,1,2024,2019
191,2,ana,2,1,1,2025,2008
192,2,ati,2,1,1,2025,2023
193,3,ama,2,1,1,2025,2018
194,2,yah,2,1,1,2025,2022
195,3,tya,3,2,1,2025,2008
196,3,tro,2,1,1,2025,2005
197,3,via,2,1,1,2024,2021
198,3,ono,2,1,1,2025,2022
199,2,tio,3,2,1,2025,2021
200,2,tyo,15,12,3,2025,2022
201,2,ama,2,1,1,2024,2004
202,2,tra,6,4,2,2025,2018
203,3,adi,2,1,1,2025,2023
204,2,lia,4,3,1,2024,2014
205,2,nti,2,1,1,2025,2022
206,2,ari,4,3,1,2024,2016
207,4,tri,2,1,1,2025,2022
208,2,ani,2,1,1,2024,2021
209,3,ini,2,1,1,2024,2019
210,3,iwi,2,1,1,2024,2010
211,2,wan,7,6,1,2024,2015
212,2,lin,2,1,1,2025,2023
213,3,sih,2,1,1,2024,2021
214,2,wan,6,5,1,2024,2019
215,2,ani,2,1,1,2024,2007
216,2,wan,3,2,1,2025,2022
217,2,uni,2,1,1,2024,2002
218,2,nti,4,3,1,2024,2009
219,2,nto,5,4,1,2025,2003
220,1,isa,3,2,1,2025,2015
221,3,roh,2,1,1,2024,2021
222,1,ika,4,3,1,2024,2020
223,1,win,14,13,1,2025,2010
224,3,rum,2,1,1,2025,2020
225,2,ali,2,1,1,2024,2022
226,1,hry,4,3,1,2024,2009
227,2,ian,2,1,1,2025,2011
228,3,ram,2,1,1,2024,2011
229,2,bar,2,1,1,2024,2012
230,2,rok,2,1,1,2025,2014
231,2,bar,2,1,1,2025,2019
232,1,sal,29,28,1,2024,2023
233,2,mad,3,2,1,2025,2003
234,3,ipa,3,2,1,2024,2021
235,2,man,6,5,1,2024,2016
236,3,dra,2,1,1,2024,2021
237,3,zam,2,1,1,2025,2018
238,2,lia,2,1,1,2025,2018
239,2,aqi,2,1,1,2024,2022
240,2,ana,6,5,1,2025,2023
241,2,aha,3,2,1,2024,2023
242,2,han,4,3,1,2025,2019
243,1,yah,4,3,1,2024,2010
244,2,ail,2,1,1,2024,2022
245,3,tri,2,1,1,2024,2021
246,3,sar,2,1,1,2025,2020
247,2,haq,2,1,1,2025,2022
248,3,oho,3,2,1,2024,2022
249,1,man,4,3,1,2025,2022
250,1,mah,12,11,1,2025,2013
251,2,hra,15,10,5,2024,2022
252,2,han,4,3,1,2024,2021
253,2,yah,2,1,1,2024,2022
254,2,ila,2,1,1,2024,2021
255,1,cia,2,1,1,2025,2013
256,1,yah,19,18,1,2024,2019
257,3,ati,2,1,1,2024,2021
258,1,kri,7,6,1,2024,2021
259,2,aya,2,1,1,2024,2021
260,3,tri,2,1,1,2024,2021
261,2,rah,2,1,1,2024,2001
262,2,yat,10,9,1,2025,2022
263,2,lia,4,2,2,2024,2021
264,2,isa,2,1,1,2024,2021
265,1,sca,4,3,1,2024,2009
266,2,tio,2,1,1,2025,2013
267,2,thy,2,1,1,2024,2021
268,3,sal,2,1,1,2025,2021
269,2,ila,2,1,1,2025,2020
270,3,tra,2,1,1,2024,2007
271,2,han,21,20,1,2024,2023
272,2,lia,2,1,1,2024,2023
273,2,ani,3,2,1,2024,2023
274,3,yku,2,1,1,2024,2021
275,2,tra,2,1,1,2024,2000
276,2,ama,4,3,1,2024,2017
277,2,ika,2,1,1,2025,2023
278,1,mah,7,6,1,2024,2019
279,2,iah,2,1,1,2025,2014
280,2,ama,2,1,1,2025,2003
281,3,ibu,2,1,1,2024,2018
282,2,ila,3,2,1,2025,2019
283,1,ina,18,17,1,2025,2018
284,2,ndi,2,1,1,2024,2021
285,1,yat,13,12,1,2025,2011
286,1,ain,2,1,1,2024,2009
287,2,ila,2,1,1,2024,2023
288,2,lah,2,1,1,2024,2017
289,2,han,6,3,3,2024,2019
290,1,len,2,1,1,2024,2019
291,2,yah,3,2,1,2025,2014
292,2,lah,5,4,1,2024,2019
293,2,wan,3,2,1,2024,2020
294,2,ama,4,3,1,2024,2018
295,2,ono,2,1,1,2024,2013
296,2,lia,2,1,1,2025,2013
