row_id,suffix3,label,n_wrong_of_20,n_models_ever_wrong,n_chars,n_tokens,wrong_CharBiRNN,wrong_CharBiGRU,wrong_CharBiLSTM,wrong_CharTransformer,ends_listed_suffix,unseen_tokens,all_tokens_unseen
254,hea,1,0,0,20,3,0,0,0,0,False,0,False
255,owo,0,0,0,29,4,0,0,0,0,False,1,False
256,ana,0,0,0,15,2,0,0,0,0,False,0,False
257,aro,0,0,0,18,3,0,0,0,0,False,1,False
258,wan,1,20,4,20,3,5,5,5,5,True,0,False
259,nur,0,0,0,24,4,0,0,0,0,False,0,False
260,any,1,0,0,27,3,0,0,0,0,False,0,False
261,ani,1,0,0,23,3,0,0,0,0,True,1,False
262,yas,1,0,0,19,3,0,0,0,0,False,0,False
263,lla,1,0,0,22,3,0,0,0,0,False,0,False
264,rya,1,5,3,26,4,2,0,1,2,False,0,False
265,ini,1,0,0,22,3,0,0,0,0,False,1,False
266,hra,1,0,0,23,3,0,0,0,0,False,0,False
267,gfa,1,0,0,18,3,0,0,0,0,False,1,False
268,nti,1,0,0,22,3,0,0,0,0,False,0,False
269,nti,1,0,0,23,3,0,0,0,0,True,0,False
270,ina,1,0,0,15,2,0,0,0,0,False,1,False
271, pu,1,0,0,30,4,0,0,0,0,False,2,False
272,ila,1,0,0,30,3,0,0,0,0,False,1,False
273,adi,1,0,0,23,3,0,0,0,0,True,0,False
274,tri,1,0,0,21,3,0,0,0,0,False,0,False
275,tri,1,0,0,21,3,0,0,0,0,False,0,False
276,oke,1,0,0,23,3,0,0,0,0,False,1,False
277,kas,1,0,0,22,3,0,0,0,0,False,1,False
278,mad,1,0,0,19,3,0,0,0,0,False,0,False
279,ila,1,0,0,24,3,0,0,0,0,False,0,False
280,ila,1,0,0,19,3,0,0,0,0,False,0,False
281,zah,1,0,0,17,3,0,0,0,0,True,0,False
282,sil,1,0,0,30,4,0,0,0,0,False,0,False
283,run,1,0,0,30,4,0,0,0,0,False,1,False
284,war,1,0,0,18,3,0,0,0,0,False,0,False
285,lia,1,0,0,20,3,0,0,0,0,False,0,False
286,tri,1,0,0,19,3,0,0,0,0,False,0,False
287,zah,1,0,0,22,3,0,0,0,0,True,0,False
288,ina,1,0,0,19,3,0,0,0,0,False,1,False
289,ina,1,0,0,16,2,0,0,0,0,False,0,False
290,yah,1,0,0,22,3,0,0,0,0,True,0,False
291,ila,1,0,0,19,3,0,0,0,0,False,0,False
292,uiz,1,0,0,25,4,0,0,0,0,False,1,False
293,sha,1,0,0,25,4,0,0,0,0,False,0,False
294,tno,1,0,0,26,4,0,0,0,0,False,0,False
295,lla,1,0,0,24,4,0,0,0,0,False,0,False
296,tri,1,0,0,17,3,0,0,0,0,False,0,False
297,din,0,0,0,19,2,0,0,0,0,True,1,False
298,nia,1,0,0,20,3,0,0,0,0,False,1,False
299,man,0,0,0,22,3,0,0,0,0,True,1,False
300,ara,0,0,0,18,3,0,0,0,0,False,0,False
301,tia,0,0,0,8,2,0,0,0,0,False,0,False
302,tra,0,0,0,16,3,0,0,0,0,False,0,False
303,yah,1,19,4,24,3,5,5,4,5,True,0,False
304,hly,0,0,0,25,4,0,0,0,0,False,0,False
305,aya,0,0,0,21,3,0,0,0,0,False,0,False
306,ama,0,0,0,19,3,0,0,0,0,False,0,False
307,man,0,0,0,19,3,0,0,0,0,True,0,False
308,ono,0,0,0,26,3,0,0,0,0,True,1,False
309,ama,0,0,0,15,2,0,0,0,0,False,0,False
310,zki,0,0,0,13,2,0,0,0,0,False,1,False
311,yah,0,0,0,20,3,0,0,0,0,True,1,False
312,ana,0,0,0,20,3,0,0,0,0,False,0,False
313,tri,1,0,0,19,3,0,0,0,0,False,0,False
314,yah,0,0,0,16,2,0,0,0,0,True,0,False
315,fan,0,0,0,18,3,0,0,0,0,False,0,False
316,oso,0,0,0,19,3,0,0,0,0,False,0,False
317,oro,0,0,0,23,3,0,0,0,0,False,0,False
318,bar,0,0,0,20,3,0,0,0,0,False,1,False
319,ndi,0,0,0,14,2,0,0,0,0,False,1,False
320,sah,0,0,0,21,3,0,0,0,0,True,0,False
321,adi,0,0,0,17,3,0,0,0,0,True,0,False
322,ika,0,0,0,23,3,0,0,0,0,True,1,False
323,ofa,0,0,0,20,3,0,0,0,0,False,1,False
324,lih,0,0,0,14,2,0,0,0,0,False,1,False
325,aus,0,0,0,20,3,0,0,0,0,False,0,False
326,oho,1,20,4,23,3,5,5,5,5,False,0,False
327,ofa,0,0,0,27,4,0,0,0,0,False,1,False
328,ojo,0,0,0,14,2,0,0,0,0,False,0,False
329,aja,0,0,0,18,3,0,0,0,0,False,0,False
330,dan,0,0,0,20,3,0,0,0,0,False,0,False
331,tra,0,0,0,21,3,0,0,0,0,False,0,False
332,yah,0,0,0,17,2,0,0,0,0,True,0,False
333,gin,0,0,0,30,4,0,0,0,0,False,1,False
334,ani,0,0,0,15,2,0,0,0,0,True,0,False
335,eva,0,0,0,11,2,0,0,0,0,False,0,False
336,ana,0,0,0,24,3,0,0,0,0,False,0,False
337,nto,0,0,0,19,3,0,0,0,0,True,0,False
338,aya,0,0,0,23,4,0,0,0,0,False,0,False
339,ama,0,0,0,17,2,0,0,0,0,False,1,False
340,ana,0,0,0,19,3,0,0,0,0,False,0,False
341,nto,0,0,0,22,3,0,0,0,0,True,0,False
342,yah,0,0,0,24,3,0,0,0,0,True,0,False
343,kal,1,20,4,11,1,5,5,5,5,False,1,True
344,nto,0,0,0,19,3,0,0,0,0,True,0,False
345,rus,0,0,0,21,3,0,0,0,0,False,1,False
346,stu,0,0,0,19,3,0,0,0,0,False,1,False
347,ani,0,12,4,24,3,2,1,4,5,True,2,False
348,lah,1,20,4,23,4,5,5,5,5,True,0,False
349,ara,0,0,0,18,3,0,0,0,0,False,0,False
350,ata,0,0,0,12,2,0,0,0,0,False,0,False
351,tra,0,0,0,14,2,0,0,0,0,False,0,False
352,rko,0,0,0,15,2,0,0,0,0,False,1,False
353,wan,0,0,0,19,3,0,0,0,0,True,1,False
354,zam,0,0,0,14,2,0,0,0,0,False,1,False
355,ana,1,0,0,19,3,0,0,0,0,False,1,False
356,rok,0,0,0,20,3,0,0,0,0,False,1,False
357,lah,0,0,0,18,3,0,0,0,0,True,1,False
358,rim,0,0,0,23,4,0,0,0,0,False,0,False
359,ein,0,0,0,12,2,0,0,0,0,False,0,False
360,tya,0,0,0,13,2,0,0,0,0,False,0,False
361,iri,0,0,0,23,3,0,0,0,0,False,2,False
362,jat,1,18,4,20,3,4,5,5,4,False,0,False
363,wan,0,0,0,20,3,0,0,0,0,True,0,False
364,tra,0,0,0,25,3,0,0,0,0,False,1,False
365,rdo,0,0,0,15,2,0,0,0,0,False,1,False
366,ndi,0,0,0,17,2,0,0,0,0,False,1,False
367,hap,0,0,0,22,3,0,0,0,0,False,1,False
368,han,0,0,0,15,2,0,0,0,0,False,0,False
369,oga,0,0,0,20,3,0,0,0,0,False,1,False
370,tra,0,0,0,15,2,0,0,0,0,False,0,False
371,lam,0,0,0,20,2,0,0,0,0,False,1,False
372,ono,0,0,0,15,2,0,0,0,0,True,0,False
373,kim,0,0,0,19,3,0,0,0,0,False,0,False
374,kar,0,0,0,15,2,0,0,0,0,False,0,False
375,ila,1,0,0,20,3,0,0,0,0,False,0,False
376,ono,0,0,0,23,3,0,0,0,0,True,0,False
377,aja,0,0,0,30,3,0,0,0,0,False,1,False
378,nor,0,0,0,20,3,0,0,0,0,False,1,False
379,tri,1,0,0,17,3,0,0,0,0,False,1,False
380,tra,0,0,0,16,3,0,0,0,0,False,1,False
381,ndy,1,16,4,20,3,4,4,5,3,False,1,False
382,han,0,0,0,21,3,0,0,0,0,False,0,False
383,hil,0,0,0,20,3,0,0,0,0,False,0,False
384,ndi,0,0,0,20,3,0,0,0,0,False,0,False
385,hra,1,1,1,21,3,0,0,0,1,False,3,True
386,par,0,2,1,23,3,0,0,0,2,False,0,False
387,far,0,0,0,17,3,0,0,0,0,False,1,False
388,zsa,1,1,1,20,3,0,0,0,1,False,0,False
389,tra,0,0,0,15,3,0,0,0,0,False,0,False
390,dra,1,0,0,24,3,0,0,0,0,False,1,False
391,ili,0,0,0,15,2,0,0,0,0,False,2,True
392,tra,0,0,0,15,3,0,0,0,0,False,0,False
393,qah,1,0,0,13,2,0,0,0,0,True,0,False
394,yah,1,0,0,15,2,0,0,0,0,True,0,False
395,sti,0,20,4,24,4,5,5,5,5,False,1,False
396,ima,1,1,1,19,3,1,0,0,0,False,1,False
397,yla,1,0,0,11,2,0,0,0,0,False,0,False
398,fah,1,0,0,19,3,0,0,0,0,True,1,False
399,tra,0,0,0,21,3,0,0,0,0,False,1,False
400,han,0,0,0,14,2,0,0,0,0,False,1,False
401,bar,0,0,0,25,4,0,0,0,0,False,1,False
402,afi,0,0,0,10,2,0,0,0,0,False,0,False
403,wan,0,0,0,24,3,0,0,0,0,True,0,False
404,sna,1,0,0,10,2,0,0,0,0,False,0,False
405,ila,1,0,0,19,3,0,0,0,0,False,0,False
406,bin,0,0,0,14,2,0,0,0,0,False,1,False
407,oho,0,0,0,16,3,0,0,0,0,False,0,False
408,yan,0,0,0,12,2,0,0,0,0,False,0,False
409,jri,0,0,0,10,2,0,0,0,0,False,0,False
410,ndy,0,0,0,19,3,0,0,0,0,False,0,False
411,han,0,0,0,11,2,0,0,0,0,False,0,False
412,nto,0,0,0,26,4,0,0,0,0,True,0,False
413,mah,1,0,0,20,3,0,0,0,0,True,1,False
414,man,1,0,0,18,3,0,0,0,0,True,0,False
415,fin,1,0,0,19,3,0,0,0,0,False,0,False
416,tri,1,0,0,19,3,0,0,0,0,False,0,False
417,hra,1,0,0,23,3,0,0,0,0,False,0,False
418,iza,1,0,0,20,3,0,0,0,0,False,0,False
419,isa,1,0,0,18,2,0,0,0,0,False,0,False
420,isa,1,0,0,18,2,0,0,0,0,False,0,False
421,ika,1,0,0,16,2,0,0,0,0,True,0,False
422,zia,1,0,0,20,3,0,0,0,0,False,1,False
423,iah,1,0,0,20,3,0,0,0,0,True,0,False
424,hah,1,0,0,18,2,0,0,0,0,True,1,False
425,sha,1,0,0,21,3,0,0,0,0,False,1,False
426,ani,1,0,0,24,3,0,0,0,0,True,1,False
427,i'n,1,0,0,16,3,0,0,0,0,False,2,False
428,oor,0,7,4,17,3,3,2,1,1,False,0,False
429,din,0,0,0,22,3,0,0,0,0,True,0,False
430,mah,1,0,0,20,2,0,0,0,0,True,1,False
431,jan,1,0,0,25,4,0,0,0,0,False,1,False
