Strategy,Model,Seed,Accuracy,Precision,Recall,F1,Best_epoch,Train_s,F1_weighted,diff_pp
balanced,CharTransformer,777,0.95541,0.961159,0.95071,0.955906,30,536.3,0.952185,0.37210000000000854
balanced,WordBiRNN,42,0.930792,0.936353,0.926868,0.931587,11,51.1,0.929711,0.18760000000000998
balanced,WordBiRNN,7,0.926647,0.940817,0.913156,0.92678,10,47.1,0.927629,-0.08489999999999887
balanced,WordBiRNN,123,0.930415,0.936088,0.926374,0.931206,10,47.1,0.935135,-0.39290000000000713
balanced,WordBiRNN,2024,0.931043,0.936494,0.927239,0.931844,15,61.9,0.934499,-0.2654999999999963
balanced,WordBiRNN,777,0.932299,0.936761,0.929586,0.93316,9,44.5,0.934668,-0.15080000000000648
balanced,WordBiLSTM,42,0.929222,0.944501,0.914515,0.929266,8,42.4,0.934025,-0.47589999999999577
balanced,WordBiLSTM,7,0.928782,0.944679,0.913403,0.928778,8,42.4,0.932978,-0.41999999999999815
balanced,WordBiLSTM,123,0.934686,0.937927,0.933292,0.935604,9,45.3,0.936065,-0.04610000000000447
balanced,WordBiLSTM,2024,0.932927,0.933391,0.934775,0.934082,9,45.2,0.934001,0.008099999999999774
balanced,WordBiLSTM,777,0.93186,0.936379,0.929092,0.932722,9,45.3,0.934685,-0.1962999999999937
balanced,WordBiGRU,42,0.930101,0.933557,0.928598,0.931071,8,41.9,0.935153,-0.408200000000003
balanced,WordBiGRU,7,0.929787,0.934271,0.927116,0.93068,14,59.5,0.933135,-0.2455000000000096
balanced,WordBiGRU,123,0.929599,0.945225,0.914515,0.929616,14,59.6,0.933903,-0.4287000000000041
balanced,WordBiGRU,2024,0.93255,0.936792,0.93008,0.933424,9,44.8,0.932551,0.08730000000000127
balanced,WordBiGRU,777,0.931043,0.934327,0.92971,0.932012,9,45.1,0.932525,-0.05130000000000967
balanced,WordTransformer,42,0.936507,0.938692,0.936257,0.937473,17,125.5,0.938583,-0.11099999999999444
balanced,WordTransformer,7,0.933367,0.94128,0.926745,0.933956,8,76.8,0.936462,-0.2506000000000008
balanced,WordTransformer,123,0.933932,0.938816,0.930698,0.934739,15,115.0,0.934998,-0.025900000000000922
balanced,WordTransformer,2024,0.932425,0.930772,0.936751,0.933752,8,73.3,0.935668,-0.19160000000000288
balanced,WordTransformer,777,0.934183,0.938301,0.93181,0.935044,9,81.5,0.936601,-0.15570000000000306
